45x,dragen,5634,6096,528810
40x,dragen,4262,6689,528217
35x,dragen,6640,9334,525572
30x,dragen,9509,13099,521807
25x,dragen,11921,17059,517847
45x,deepvariant,5339,8517,526389
40x,deepvariant,4850,11058,523848
35x,deepvariant,7186,16252,518654
30x,deepvariant,10459,22134,512772
25x,deepvariant,12905,25795,509111
45x,gatk4,35855,21374,513532
40x,gatk4,30066,21094,513812
35x,gatk4,38845,22673,512233
30x,gatk4,48014,25064,509842
25x,gatk4,53289,27048,507858
45x,strelka2,4576,43051,491855
40x,strelka2,3788,40823,494083
35x,strelka2,5601,44787,490119
30x,strelka2,8175,50609,484297
25x,strelka2,10295,55616,479290
45x,freebayes,11203,37145,497761
40x,freebayes,9307,36639,498267
35x,freebayes,12708,39790,495116
30x,freebayes,17410,44082,490824
25x,freebayes,21055,47693,487213
45x,sentieon,10179,17705,517201
40x,sentieon,9957,19075,515831
35x,sentieon,15192,21908,512998
30x,sentieon,21781,27084,507822
25x,sentieon,25920,31988,502918
