45x,dragen,4031,4386,3413356
40x,dragen,2576,4276,3413466
35x,dragen,3817,5550,3412192
30x,dragen,5241,7502,3410240
25x,dragen,6416,9397,3408345
45x,deepvariant,2916,3759,3413983
40x,deepvariant,1770,3211,3414531
35x,deepvariant,2470,4230,3413512
30x,deepvariant,3307,5696,3412046
25x,deepvariant,3989,6937,3410805
45x,gatk4,13525,4778,3412964
40x,gatk4,9459,4959,3412783
35x,gatk4,12241,6109,3411633
30x,gatk4,15266,7818,3409924
25x,gatk4,17005,9516,3408226
45x,strelka2,4229,131462,3286280
40x,strelka2,3405,131405,3286337
35x,strelka2,4835,133304,3284438
30x,strelka2,6448,134481,3283261
25x,strelka2,7744,135250,3282492
45x,freebayes,9398,5411,3412331
40x,freebayes,7299,5658,3412084
35x,freebayes,9684,7392,3410350
30x,freebayes,12502,10259,3407483
25x,freebayes,14475,13407,3404335
45x,sentieon,5605,4655,3413087
40x,sentieon,2909,4858,3412884
35x,sentieon,4122,6040,3411702
30x,sentieon,5335,8081,3409661
25x,sentieon,6092,10286,3407456
